Результаты компрессии HSI по методам и коэффициенту sc
Параметры: -s 760 -l 430 -b 0, базовые NT/ST: --me 0.8 --ae 0.2, OT/AT: ×2
Сортировка: по возрастанию внутренних эталонов

NT (прогонов: 47):
  sc         Главных    Внутр.
  ------------------------------
  1.13114    505        5998
  1.13111    505        5998
  1.13116    505        5998
  1.13113    505        5998
  1.1311     505        5998
  1.13115    505        5998
  1.13112    505        5998
  1.13117    505        5999
  1.131      505        5999
  1.13119    505        5999
  1.13118    505        5999
  1.1312     505        5999
  1.13       505        6000
  1.1313     505        6000
  1.1314     505        6002
  1.1316     505        6003
  1.1315     505        6003
  1.12       505        6004
  1.1317     505        6004
  1.133      505        6005
  1.1318     505        6005
  1.1319     505        6005
  1.132      505        6005
  1.134      505        6007
  1.135      505        6011
  1.136      505        6012
  1.14       506        6014
  1.137      506        6015
  1.138      506        6015
  1.139      506        6016
  1.1        503        6021
  1.11       505        6022
  1.15       508        6025
  1.0        506        6034
  1.19       509        6037
  1.17       510        6038
  1.16       509        6045
  1.18       510        6050
  1.2        510        6050
  1.3        513        6134
  1.4        519        6161
  1.5        527        6262
  1.6        535        6476
  1.7        561        6706
  1.8        599        7204
  1.9        719        7907
  2.0        1197       9112

OT (прогонов: 47):
  sc         Главных    Внутр.
  ------------------------------
  1.0313     383        4839
  1.0311     383        4839
  1.0312     383        4839
  1.0317     383        4840
  1.031      383        4840
  1.0316     383        4840
  1.03       383        4841
  1.0314     383        4841
  1.0315     383        4841
  1.0319     383        4842
  1.038      383        4842
  1.032      383        4842
  1.0318     383        4842
  1.039      383        4843
  1.035      383        4843
  1.037      383        4843
  1.033      383        4843
  1.034      383        4844
  1.02       383        4845
  1.036      383        4845
  1.06       383        4845
  1.04       383        4846
  1.0        382        4847
  1.01       382        4848
  1.05       383        4848
  1.07       385        4867
  1.1        385        4870
  1.09       384        4873
  1.08       385        4875
  1.13       386        4877
  1.11       386        4884
  1.12       386        4887
  1.18       388        4891
  1.14       387        4893
  1.15       387        4896
  1.17       388        4897
  1.19       388        4901
  1.16       389        4902
  1.2        390        4924
  1.3        391        4932
  1.4        398        4992
  1.5        402        5151
  1.6        415        5293
  1.7        441        5532
  1.8        486        5863
  1.9        633        6594
  2.0        1102       7824

ST (прогонов: 56):
  sc         Главных    Внутр.
  ------------------------------
  1.0347     182        2276
  1.034      182        2276
  1.0343     182        2276
  1.0346     182        2276
  1.0341     182        2276
  1.0342     182        2276
  1.0344     182        2276
  1.0345     182        2276
  1.0348     182        2277
  1.023      182        2277
  1.035      182        2277
  1.0349     182        2277
  1.022      182        2277
  1.033      182        2277
  1.021      182        2277
  1.032      182        2278
  1.024      182        2278
  1.027      182        2278
  1.025      182        2278
  1.02       182        2279
  1.031      182        2279
  1.026      182        2279
  1.03       182        2279
  1.028      182        2279
  1.029      182        2279
  1.0        182        2280
  1.01       182        2280
  1.038      182        2281
  1.04       182        2281
  1.036      182        2281
  1.037      182        2281
  1.039      182        2282
  1.05       182        2285
  1.06       182        2290
  1.08       181        2292
  1.3        184        2293
  1.2        186        2294
  1.09       182        2294
  1.1        182        2294
  1.07       181        2295
  1.33       185        2296
  1.31       185        2301
  1.32       184        2301
  1.34       186        2302
  1.35       186        2316
  1.36       188        2339
  1.39       191        2347
  1.4        192        2351
  1.37       189        2352
  1.38       191        2368
  1.5        192        2424
  1.6        190        2472
  1.7        197        2604
  1.8        219        2922
  1.9        251        3510
  2.0        410        4764

AT (прогонов: 38):
  sc         Главных    Внутр.
  ------------------------------
  1.04       176        2327
  1.041      176        2328
  1.05       173        2328
  1.042      176        2329
  1.09       174        2330
  1.044      176        2331
  1.0        176        2331
  1.043      176        2331
  1.01       176        2332
  1.047      176        2333
  1.046      176        2333
  1.045      176        2333
  1.08       174        2333
  1.2        171        2334
  1.049      176        2334
  1.048      176        2335
  1.02       176        2336
  1.03       176        2337
  1.06       173        2337
  1.1        173        2337
  1.21       171        2340
  1.07       174        2343
  1.22       171        2349
  1.23       171        2349
  1.24       171        2358
  1.25       171        2360
  1.26       171        2364
  1.3        168        2367
  1.28       168        2367
  1.29       168        2367
  1.27       171        2371
  1.4        171        2416
  1.5        180        2472
  1.6        189        2564
  1.7        198        2707
  1.8        215        3024
  1.9        241        3911
  2.0        394        5110
