Результаты компрессии HSI по методам и коэффициенту sc
Параметры: -s 760 -l 430 -b 0, базовые NT/ST: --me 1.6 --ae 0.4, OT/AT: ×2
Сортировка: по возрастанию внутренних эталонов

NT (прогонов: 41):
  sc         Главных    Внутр.
  ------------------------------
  1.2              191      2147
  1.20             191      2147
  1.200            191      2147
  1.2000           191      2147
  1.2001           191      2148
  1.2002           191      2148
  1.2003           191      2148
  1.2004           191      2148
  1.0              188      2149
  1.1              190      2149
  1.2005           191      2149
  1.2006           191      2149
  1.2007           191      2149
  1.2008           191      2149
  1.2009           191      2149
  1.201            191      2149
  1.203            191      2149
  1.204            191      2149
  1.205            191      2149
  1.207            191      2149
  1.202            191      2150
  1.206            191      2150
  1.25             192      2150
  1.22             192      2151
  1.24             191      2153
  1.23             192      2154
  1.26             192      2154
  1.21             192      2158
  1.27             192      2158
  1.208            192      2159
  1.209            192      2160
  1.28             193      2164
  1.3              194      2166
  1.29             194      2170
  1.4              191      2184
  1.5              197      2220
  1.6              200      2249
  1.7              199      2336
  1.8              214      2509
  1.9              271      2971
  2.0              316      3652

OT (прогонов: 41):
  sc         Главных    Внутр.
  ------------------------------
  1.16             138      1671
  1.160            138      1671
  1.1600           138      1671
  1.1601           138      1671
  1.1602           138      1671
  1.1603           138      1671
  1.1604           138      1671
  1.1605           138      1671
  1.1606           138      1672
  1.1608           138      1672
  1.1609           138      1673
  1.161            138      1673
  1.165            138      1673
  1.166            138      1673
  1.167            138      1673
  1.14             139      1674
  1.1607           138      1674
  1.163            138      1674
  1.164            138      1674
  1.168            138      1674
  1.162            138      1675
  1.169            138      1676
  1.17             138      1676
  1.15             138      1677
  1.13             138      1678
  1.18             139      1678
  1.11             138      1680
  1.19             139      1681
  1.1              138      1683
  1.10             138      1683
  1.12             138      1683
  1.2              137      1684
  1.0              141      1695
  1.3              140      1695
  1.4              131      1708
  1.5              138      1750
  1.6              144      1794
  1.7              150      1851
  1.8              155      2064
  1.9              188      2203
  2.0              502      2969

ST (прогонов: 61):
  sc         Главных    Внутр.
  ------------------------------
  1.1               65       762
  1.10              65       762
  1.100             65       762
  1.1000            65       762
  1.1001            65       762
  1.1002            65       762
  1.1003            65       762
  1.1004            65       762
  1.1005            65       762
  1.1006            65       762
  1.1007            65       762
  1.1008            65       762
  1.1009            65       762
  1.101             65       762
  1.1010            65       762
  1.1011            65       762
  1.1012            65       762
  1.1013            65       762
  1.1014            65       762
  1.1015            65       762
  1.1016            65       762
  1.1017            65       762
  1.1018            65       762
  1.1019            65       762
  1.102             65       762
  1.1020            65       762
  1.1021            65       762
  1.1026            65       762
  1.1027            65       762
  1.1028            65       762
  1.1022            65       763
  1.1023            65       763
  1.1024            65       763
  1.1025            65       763
  1.1029            65       763
  1.103             65       763
  1.104             65       763
  1.109             65       763
  1.11              65       763
  1.17              65       763
  1.105             65       764
  1.108             65       764
  1.14              65       764
  1.106             65       765
  1.107             65       765
  1.13              65       765
  1.15              65       765
  1.16              65       765
  1.12              65       766
  1.18              65       768
  1.3               65       768
  1.4               67       768
  1.19              64       769
  1.2               65       773
  1.0               66       774
  1.5               68       786
  1.6               71       831
  1.7               72       862
  1.8               80       951
  1.9              100      1230
  2.0               96      1419

AT (прогонов: 51):
  sc         Главных    Внутр.
  ------------------------------
  1.2               64       739
  1.20              64       739
  1.200             64       739
  1.2000            64       739
  1.2001            64       739
  1.2005            64       739
  1.2006            64       739
  1.2007            64       739
  1.2008            64       739
  1.2009            64       739
  1.201             64       739
  1.2010            64       739
  1.2011            64       739
  1.2012            64       739
  1.2013            64       739
  1.2014            64       739
  1.2002            64       740
  1.2003            64       740
  1.2004            64       740
  1.2015            64       740
  1.2016            64       740
  1.2017            64       740
  1.2018            64       740
  1.2019            64       740
  1.202             64       740
  1.203             64       741
  1.204             64       741
  1.205             64       741
  1.21              64       741
  1.206             64       742
  1.23              64       742
  1.207             64       743
  1.208             64       743
  1.209             64       743
  1.24              64       744
  1.25              64       744
  1.27              63       744
  1.1               64       745
  1.22              64       746
  1.26              63       746
  1.28              63       746
  1.29              62       746
  1.3               62       747
  1.0               64       753
  1.4               61       772
  1.5               62       775
  1.6               67       801
  1.7               69       819
  1.8               69       863
  1.9               75      1024
  2.0               87      1331

