Результаты компрессии HSI по методам и коэффициенту sc
Параметры: -s 760 -l 480 -b 0, базовые NT/ST: --me 1.6 --ae 0.4, OT/AT: ×2
Сортировка: по возрастанию внутренних эталонов

NT (прогонов: 50):
  sc         Главных    Внутр.
  ------------------------------
  1.2803          28        231
  1.2804          28        231
  1.2805          28        231
  1.2806          28        231
  1.2807          28        231
  1.2808          28        231
  1.2809          28        231
  1.281           28        231
  1.281           28        231
  1.2811          28        231
  1.2812          28        231
  1.2813          28        231
  1.2814          28        231
  1.2815          28        231
  1.2816          28        231
  1.2817          28        231
  1.2818          28        231
  1.2819          28        231
  1.282           28        231
  1.282           28        231
  1.2821          28        231
  1.2822          28        231
  1.2823          28        231
  1.2824          28        231
  1.2825          28        231
  1.2826          28        231
  1.2827          28        231
  1.2828          28        231
  1.2829          28        231
  1.283           28        231
  1.283           28        231
  1.2831          28        231
  1.2832          28        231
  1.2833          28        231
  1.2834          28        231
  1.2835          28        231
  1.2836          28        231
  1.2837          28        231
  1.2838          28        231
  1.2839          28        231
  1.284           28        231
  1.284           28        231
  1.2841          28        231
  1.2842          28        231
  1.2843          28        231
  1.2844          28        231
  1.2845          28        231
  1.2846          28        231
  1.2847          28        231
  1.2848          28        231
  1.2849          28        231
  1.285           28        231
  1.285           28        231
  1.2851          28        231
  1.2852          28        231
  1.2853          28        231
  1.2854          28        231
  1.2855          28        231
  1.2856          28        231
  1.2857          28        231
  1.2858          28        231
  1.2859          28        231
  1.286           28        231
  1.286           28        231
  1.2861          28        231
  1.2862          28        231
  1.2863          28        231
  1.2864          28        231
  1.2865          28        231
  1.2866          28        231
  1.2867          28        231
  1.2868          28        231
  1.44            28        231
  1.44            28        231
  1.44            28        231
  1.4401          28        231
  1.4402          28        231
  1.4403          28        231
  1.4404          28        231
  1.4405          28        231
  1.4406          28        231
  1.4407          28        231
  1.4408          29        231
  1.4409          28        231
  1.441           28        231
  1.441           28        231
  1.4411          29        231
  1.4412          29        231
  1.4413          29        231
  1.4414          29        231
  1.4415          29        231
